year;code;city;type;GDP;GDPPC
2010;1301803;Ipixuna;Centro Local;69653,712;3137,7
2010;1301852;Iranduba;Centro Local;306445,629;7522,91
2010;1301902;Itacoatiara;Centro de Zona;849636,545;9783,93
2010;1301951;Itamarati;Centro Local;42984,727;5346,36
2010;1302009;Itapiranga;Centro Local;82028,98;10003,53
2010;1302108;Japurá;Centro Local;32589,772;4471,09
2010;1302207;Juruá;Centro Local;48746,683;4504,41
2010;1302306;Jutaí;Centro Local;89745,308;4995,84
2010;1302405;Lábrea;Centro de Zona;205324,579;5464,54
2010;1302504;Manacapuru;Centro Local;647439,91;7604,06
2010;1302553;Manaquiri;Centro Local;124713,917;5468,23
2010;1302603;Manaus;Metrópole;50168821,18;27832,52
2010;1302702;Manicoré;Centro Local;251450,327;5348,76
2010;1302801;Maraã;Centro Local;65053,946;3746,48
2010;1302900;Maués;Centro Local;271610,911;5238,7
2010;1303007;Nhamundá;Centro Local;69664,386;3811,38
2010;1303106;Nova Olinda do Norte;Centro Local;128636,703;4181,81
2010;1303205;Novo Airão;Centro Local;73846,168;4996,36
2010;1303304;Novo Aripuanã;Centro Local;78083,916;3650,66
2010;1303403;Parintins;Centro Subregional;578337,198;5666,31
2010;1303502;Pauini;Centro Local;76686,166;4224,43
2010;1303536;Presidente Figueiredo;Centro Local;314535,23;11597,48
2010;1303569;Rio Preto da Eva;Centro Local;193863,213;7526,33
2010;1303601;Santa Isabel do Rio Negro;Centro Local;65376,313;3605,38
2010;1303700;Santo Antônio do Içá;Centro Local;83501,322;3410,03
2010;1303809;São Gabriel da Cachoeira;Centro Local;162583,165;4358,8
2010;1303908;São Paulo de Olivença;Centro Local;108879,053;3464,62
2010;1303957;São Sebastião do Uatumã;Centro Local;42612,81;3986,98
2010;1304005;Silves;Centro Local;48369,96;5727,64
2010;1304062;Tabatinga;Centro de Zona;237077,849;4534,86
2010;1304104;Tapauá;Centro Local;84359,202;4422,04
2010;1304203;Tefé;Centro Subregional;350169,148;5703,17
2010;1304237;Tonantins;Centro Local;58573,098;3434,16
2010;1304260;Uarini;Centro Local;78559,015;6598,27
2010;1304302;Urucará;Centro Local;102019,917;5994,47
2010;1304401;Urucurituba;Centro Local;73588,237;4150,26
2010;1400027;Amajari;Centro Local;76901,218;8242,36
2010;1400050;Alto Alegre;Centro Local;134967,393;8287,33
2010;1400100;Boa Vista;Capital Regional;5123255,741;18023,26
2010;1400159;Bonfim;Centro Local;108567,536;9913,94
2010;1400175;Cantá;Centro Local;124720,311;9052,13
2010;1400209;Caracaraí;Centro Local;174393,565;9486,16
2010;1400233;Caroebe;Centro Local;73318,052;9035,99
2010;1400282;Iracema;Centro Local;76327,457;8797,54
2010;1400308;Mucajaí;Centro Local;147252,38;9940,08
2010;1400407;Normandia;Centro Local;74442,172;8339,93
2010;1400456;Pacaraima;Centro Local;102813,61;9840,51
2010;1400472;Rorainópolis;Centro Local;241464,868;9437,01
2010;1400506;São João da Baliza;Centro Local;66010,25;9738,9
2010;1400605;São Luiz;Centro Local;59706,16;8845,36
2010;1400704;Uiramutã;Centro Local;55009,764;6752,15
2010;1500107;Abaetetuba;Centro Subregional;583793,453;4138,79
2010;1500131;Abel Figueiredo;Centro Local;53598,698;7891,45
2010;1500206;Acará;Centro Local;440767,452;8222,51
2010;1500305;Afuá;Centro Local;161293,159;4606,14
