code;name;city;state;type;uf_code
SBVC;Glauber de Andrade Rocha;Vitória da Conquista;Bahia;Público;29
SBLE;Horácio de Matos;Lençóis;Bahia;Público;29
SNGI;Aeródromo de Guanambi;Guanambi;Bahia;Público;29
SBFZ;Pinto Martins;Fortaleza;Ceará;Público;23
SNLN;Municipal de Linhares;Linhares;Espírito Santo;Público;32
SNMH;Pirenópolis;Pirenópolis;Goiás;Público;52
SNYU;Aeródromo de Iturama;Iturama;Minas Gerais;Público;31
SNDT;Juscelino Kubitscheck;Diamantina;Minas Gerais;Público;31
SBHT;Altamira;Altamira;Pará;Público;15
SBFN;Fernando de Noronha;Fernando de Noronha;Pernambuco;Público;26
SBTE;Aeroporto de Teresina / Senador Petrônio Portella;Teresina;Piauí;Público;22
SSUM;Orlando de Carvalho;Umuarama;Paraná;Público;41
SSTE;Torres;Torres;Rio Grande do Sul;Público;43
SBLJ;Lages;Lages;Santa Catarina;Público;42
SDSC;Mário Pereira Lopes;São Carlos;São Paulo;Público;35
SBGO;Santa Genoveva;Goiânia;Goiás;Público;52
SSKW;Cacoal;Cacoal;Rondônia;Público;11
SBMI;Maricá;Maricá;Rio de Janeiro;Público;33
SBUL;Ten. Cel. Aviador César Bombonato;Uberlândia;Minas Gerais;Público;31
SBTG;Três Lagoas;Três Lagoas;Mato Grosso do Sul;Público;50
SSKG;Estância Santa Maria;Campo Grande;Mato Grosso do Sul;Público;50
SWJW;Jataí;Jataí;Goiás;Público;52
SNOU;Novo Aeródromo de Feijó;Feijó;Acre;Público;12
SBGW;Guaratinguetá;Guaratinguetá;São Paulo;Público;35
SSCI;Coxim;Coxim;Mato Grosso do Sul;Público;50
SWXM;Regional Orlando Villas Boas;Matupá;Mato Grosso;Público;51
SSMJ;Maracaju;Maracaju;Mato Grosso do Sul;Público;50
SSIQ;Itaqui;Itaqui;Rio Grande do Sul;Público;43
SWBG;André Antônio Maggi;Pontes e Lacerda;Mato Grosso;Público;51
SWKO;Coari;Coari;Amazonas;Público;13
SBPB;Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho;Parnaíba;Piauí;Público;22
SNGD;Guadalupe;Guadalupe;Piauí;Público;22
SNNU;Nanuque;Nanuque;Minas Gerais;Público;31
SNJK;Jequié;Jequié;Bahia;Público;29
SNZW;Ituberá;Ituberá;Bahia;Público;29
SIBU;Catolé do Rocha;Catolé do Rocha;Paraíba;Público;25
SDTF;Tatuí;Tatuí;São Paulo;Público;35
SSCP;Francisco Lacerda Júnior;Cornélio Procópio;Paraná;Público;41
SNLT;Paulistana;Paulistana;Piauí;Público;22
SSXX;Municipal João Winckler;Xanxerê;Santa Catarina;Público;42
SSAE;Arroio Grande;Arroio Grande;Rio Grande do Sul;Público;43
SJOG;Ariquemes;Ariquemes;Rondônia;Público;11
SSGA;Garibaldi;Garibaldi;Rio Grande do Sul;Público;43
SNNE;Sebastião Carlos Leite;São João Nepomuceno;Minas Gerais;Público;31
SNYE;Pinheiro;Pinheiro;Maranhão;Público;21
SNCT;Caratinga;Ubaporanga;Minas Gerais;Público;31
SNLO;São Lourenço;São Lourenço;Minas Gerais;Público;31
SBPF;Lauro Kurtz;Passo Fundo;Rio Grande do Sul;Público;43
SSSB;São Borja;São Borja;Rio Grande do Sul;Público;43
SDFX;Casa Nova;Casa Nova;Bahia;Público;29
SSRU;São Lourenço do Sul;São Lourenço do Sul;Rio Grande do Sul;Público;43
SWOB;Fonte Boa;Fonte Boa;Amazonas;Público;13
SSEP;São Sepé;São Sepé;Rio Grande do Sul;Público;43
SSIJ;Ijuí;Ijuí;Rio Grande do Sul;Público;43
SNIB;Itaberaba;Itaberaba;Bahia;Público;29
SBCR;Corumbá Internacional;Corumbá;Mato Grosso do Sul;Público;50
SBSN;Maestro Wilson Fonseca;Santarém;Pará;Público;15
SSVI;Ângelo Ponzoni;Videira;Santa Catarina;Público;42
SNMK;Mocambinho;Jaíba;Minas Gerais;Público;31
SNTQ;Buritirama;Buritirama;Bahia;Público;29
SWCA;Carauari;Carauari;Amazonas;Público;13
SDIG;Ibitinga;Ibitinga;São Paulo;Público;35
SNIT;Ibotirama;Ibotirama;Bahia;Público;29
SWKC;Cáceres;Cáceres;Mato Grosso;Público;51
SNRX;Riachão;Riachão;Maranhão;Público;21
SWDM;Diamantino;Diamantino;Mato Grosso;Público;51
SNOE;Oeiras;Oeiras;Piauí;Público;22
SSPI;Edu Chaves;Paranavaí;Paraná;Público;41
SSLO;Attillio Accorsi;Loanda;Paraná;Público;41
SNWS;Crateús;Crateús;Ceará;Público;23
SSRF;Castro Alves;Castro Alves;Bahia;Público;29
SBIC;Itacoatiara;Itacoatiara;Amazonas;Público;13
SWFR;Formosa;Formosa;Goiás;Público;52
SDJO;São Joaquim da Barra;São Joaquim da Barra;São Paulo;Público;35
SNOX;Oriximiná;Oriximiná;Pará;Público;15
SNSS;Salinas;Salinas;Minas Gerais;Público;31
SDNH;Novo Horizonte;Novo Horizonte;São Paulo;Público;35
SSTB;Três Barras;Três Barras;Santa Catarina;Público;42
SSLN;Helmuth Baungartem;Lontras;Santa Catarina;Público;42
SNSE;Sento Sé;Sento Sé;Bahia;Público;29
SNJR;Prefeito Octávio de Almeida Neves;São João del Rei;Minas Gerais;Público;31
SNMJ;Maracás;Maracás;Bahia;Público;29
SDCA;Capão Bonito;Capão Bonito;São Paulo;Público;35
SBBR;Presidente Juscelino Kubitschek;Brasília;Distrito Federal;Público;53
SWTS;Tangará da Serra;Tangará da Serra;Mato Grosso;Público;51
SBPJ;Palmas / Brigadeiro Lysias Rodrigues;Palmas;Tocantins;Público;17
SWYN;Apuí;Apuí;Amazonas;Público;13
SNSG;Salgueiro;Salgueiro;Pernambuco;Público;26
SSGY;Guaíra;Guaíra;Paraná;Público;41
SNVS;Breves;Breves;Pará;Público;15
SSSC;Santa Cruz do Sul;Santa Cruz do Sul;Rio Grande do Sul;Público;43
SWRO;Aeroclube de Rondônia;Porto Velho;Rondônia;Público;11
SNPC;Picos;Picos;Piauí;Público;22
SBDN;Presidente Prudente;Presidente Prudente;São Paulo;Público;35
SBTK;Tarauacá;Tarauacá;Acre;Público;12
SBCD;Carlos Alberto da Costa Neves;Caçador;Santa Catarina;Público;42
SNBI;Bacabal;Bacabal;Maranhão;Público;21
SSPM;Porto Murtinho;Porto Murtinho;Mato Grosso do Sul;Público;50
SWPR;Pires do Rio;Pires do Rio;Goiás;Público;52
SBPR;Carlos Prates;Belo Horizonte;Minas Gerais;Público;31
SDKF;Juazeiro;Curaçá;Bahia;Público;29
SNQV;Curvelo;Curvelo;Minas Gerais;Público;31
SDMH;Mirassol;Mirassol;São Paulo;Público;35
SBAU;Estadual Dario Guarita;Araçatuba;São Paulo;Público;35
SDPV;Presidente Venceslau;Presidente Venceslau;São Paulo;Público;35
SNPJ;Patrocínio;Patrocínio;Minas Gerais;Público;31
SBIP;Usiminas;Santana do Paraíso;Minas Gerais;Público;31
SSNH;Novo Hamburgo;Novo Hamburgo;Rio Grande do Sul;Público;43
SJVO;Aragarças;Aragarças;Goiás;Público;52
SSBV;Bela Vista;Bela Vista;Mato Grosso do Sul;Público;50
SJBY;João Silva;Santa Inês;Maranhão;Público;21
SSSD;Soledade;Soledade;Rio Grande do Sul;Público;43
SDTK;Parati;Paraty;Rio de Janeiro;Público;33
SBRF;Guararapes - Gilberto Freyre Internacional;Recife;Pernambuco;Público;26
SDRS;Resende;Resende;Rio de Janeiro;Público;33
SWEI;Eirunepé;Eirunepé;Amazonas;Público;13
SSQP;Monte Santo;Monte Santo;Bahia;Público;29
SNKD;Conceição do Mato Dentro;Conceição do Mato Dentro;Minas Gerais;Público;31
SSLG;São Luiz Gonzaga;São Luiz Gonzaga;Rio Grande do Sul;Público;43
SWHP;Olhos D'Água;Água Boa;Mato Grosso;Público;51
SWDN;Dianópolis;Dianópolis;Tocantins;Público;17
SNJB;Jacobina;Jacobina;Bahia;Público;29
SSCL;Cassilândia;Cassilândia;Mato Grosso do Sul;Público;50
SNTO;Juscelino Kubitscheck;Teófilo Otoni;Minas Gerais;Público;31
SDBK;Tancredo de Almeida Neves;Botucatu;São Paulo;Público;35
SWVC;Vila Rica;Vila Rica;Mato Grosso;Público;51
SIBW;Conceição;Conceição;Paraíba;Público;25
SWMW;Maués;Maués;Amazonas;Público;13
SDVG;Domingos Pignatari;Votuporanga;São Paulo;Público;35
SIZX;Juara Sul;Juara;Mato Grosso;Público;51
SJXI;Santa Rita do Sapucaí;Santa Rita do Sapucaí;Minas Gerais;Público;31
SNPU;Paraguaçu;Paraguaçu;Minas Gerais;Público;31
SSAB;Moisés Lupion;Ibaiti;Paraná;Público;41
SDVE;Vera Cruz;Vera Cruz;São Paulo;Público;35
SNRZ;Oliveira;Oliveira;Minas Gerais;Público;31
SDKJ;Formosa do Rio Preto;Formosa do Rio Preto;Bahia;Público;29
SSKZ;Carazinho;Carazinho;Rio Grande do Sul;Público;43
SDTI;Tupi Paulista;Tupi Paulista;São Paulo;Público;35
SSFL;João Pereira dos Santos Filho;Fronteiras;Piauí;Público;22
SBLP;Bom Jesus da Lapa;Bom Jesus da Lapa;Bahia;Público;29
SNST;Souto Soares;Souto Soares;Bahia;Público;29
SNGB;Gilbués;Gilbués;Piauí;Público;22
SNJP;João Pinheiro;João Pinheiro;Minas Gerais;Público;31
SSPS;Dimorvan Carraro;Palmas;Paraná;Público;41
SDBA;Batatais;Batatais;São Paulo;Público;35
SNTR;Piritiba;Piritiba;Bahia;Público;29
SSOI;Pederneiras;Pederneiras;São Paulo;Público;35
SNAG;Araguari;Araguari;Minas Gerais;Público;31
SNBC;Barra do Corda;Barra do Corda;Maranhão;Público;21
SBPV;Governador Jorge Teixeira de Oliveira;Porto Velho;Rondônia;Público;11
SSCR;Ruben Berta;Marechal Cândido Rondon;Paraná;Público;41
SDPY;Pirassununga;Pirassununga;São Paulo;Público;35
SDJC;Jaboticabal;Jaboticabal;São Paulo;Público;35
SDUN;Itaperuna;Itaperuna;Rio de Janeiro;Público;33
SNQU;Mucugê;Mucugê;Bahia;Público;29
SDFD;Coronel Aviador Carlos Orleans Guimarães;Fernandópolis;São Paulo;Público;35
SNUB;Ubá;Ubá;Minas Gerais;Público;31
SDNM;Brigadeiro Eduardo Gomes;Nova Mutum;Mato Grosso;Público;51
SSMT;Mostardas;Mostardas;Rio Grande do Sul;Público;43
SNYB;Tito Teixeira;Ituiutaba;Minas Gerais;Público;31
SBTU;Tucuruí;Tucuruí;Pará;Público;15
SBUR;Mario de Almeida Franco;Uberaba;Minas Gerais;Público;31
SNFE;Comandante Paschoal Patrocínio Filho;Alfenas;Minas Gerais;Público;31
SSUV;José Cleto;União da Vitória;Paraná;Público;41
SDGC;Garça;Garça;São Paulo;Público;35
SWTP;Santa Izabel do Rio Negro;Santa Isabel do Rio Negro;Amazonas;Público;13
SDAA;Araras;Araras;São Paulo;Público;35
SNQX;Quixadá;Quixadá;Ceará;Público;23
SDUQ;Paraguaçu Paulista;Paraguaçu Paulista;São Paulo;Público;35
SDRR;Avaré-Arandu;Avaré;São Paulo;Público;35
SSBL;Blumenau;Blumenau;Santa Catarina;Público;42
SBCN;Nelson Rodrigues Guimarães;Caldas Novas;Goiás;Público;52
SNBS;Balsas;Balsas;Maranhão;Público;21
SWNK;Novo Campo;Boca do Acre;Amazonas;Público;13
SSSZ;Sertanópolis;Sertanópolis;Paraná;Público;41
SSAN;João Galdino;;;Público;
SBTT;Tabatinga;Tabatinga;Amazonas;Público;13
SNUH;Piumhi;Piumhi;Minas Gerais;Público;31
SWHT;Francisco Correa da Cruz;Humaitá;Amazonas;Público;13
SWBE;Walfrido Samito de Almeida;São Benedito;Ceará;Público;23
SWII;Ipiranga;Santo Antônio do Içá;Amazonas;Público;13
SSNQ;Nioaque;Nioaque;Mato Grosso do Sul;Público;50
SBJC;Belém / Brigadeiro Protásio de Oliveira;Belém;Pará;Público;15
SNBA;Chafei Amsei;Barretos;São Paulo;Público;35
SNIE;Caetité;Caetité;Bahia;Público;29
SDAD;Everaldo Moraes Barreto;Adamantina;São Paulo;Público;35
SNEB;Nagib Demachki;Paragominas;Pará;Público;15
SDBY;Bariri;Bariri;São Paulo;Público;35
SNRU;Caruaru;Caruaru;Pernambuco;Público;26
SBPS;Porto Seguro;Porto Seguro;Bahia;Público;29
SNBG;Baixo Guandu - Aimorés;Baixo Guandu;Espírito Santo;Público;32
SBBI;Bacacheri;Curitiba;Paraná;Público;41
SSGB;Municipal de Guaratuba;Guaratuba;Paraná;Público;41
SWCZ;Ceres;Ceres;Goiás;Público;52
SSRG;Aeroporto Estadual de Registro;Registro;São Paulo;Público;35
SBUA;São Gabriel da Cachoeira;São Gabriel da Cachoeira;Amazonas;Público;13
SSPG;Santos Dumont;Paranaguá;Paraná;Público;41
SNCZ;Ponte Nova;Ponte Nova;Minas Gerais;Público;31
SNAS;Três Marias;Três Marias;Minas Gerais;Público;31
SWXV;Xavantina;Nova Xavantina;Mato Grosso;Público;51
SBOI;Oiapoque;Oiapoque;Amapá;Público;16
SNVI;Mello Viana;Três Corações;Minas Gerais;Público;31
SSMR;Manoel Ribas;Manoel Ribas;Paraná;Público;41
SNBX;Barra;Barra;Bahia;Público;29
SNCA;Campo Belo;Campo Belo;Minas Gerais;Público;31
SSKK;Capão da Canoa;Capão da Canoa;Rio Grande do Sul;Público;43
SSQC;Aguinaldo Pereira Lima;Siqueira Campos;Paraná;Público;41
SWFX;São Félix do Araguaia;São Félix do Araguaia;Mato Grosso;Público;51
SDKK;Mococa;Mococa;São Paulo;Público;35
SNPX;Pirapora;Pirapora;Minas Gerais;Público;31
SWPK;Poconé;Poconé;Mato Grosso;Público;51
SDCG;Senadora Eunice Michiles;São Paulo de Olivença;Amazonas;Público;13
SNZR;Pedro Rabelo de Souza;Paracatu;Minas Gerais;Público;31
SDET;Tietê;Tietê;São Paulo;Público;35
SNBM;Cristiano Ferreira Varella;Muriaé;Minas Gerais;Público;31
SSCT;Engenheiro Gastão de Mesquita Filho;Cianorte;Paraná;Público;41
SNEE;Vacaria Novo;Vacaria;Rio Grande do Sul;Público;43
SNQD;Sousa;Sousa;Paraíba;Público;25
SSST;Santiago;Santiago;Rio Grande do Sul;Público;43
SSKS;Brigadeiro Nero Moura;Cachoeira do Sul;Rio Grande do Sul;Público;43
SSEZ;Espumoso;Espumoso;Rio Grande do Sul;Público;43
SBUG;Rubem Berta;Uruguaiana;Rio Grande do Sul;Público;43
SDBB;Bebedouro;Bebedouro;São Paulo;Público;35
SWTY;Taguatinga;Taguatinga;Tocantins;Público;17
SWUD;Deputado Oswaldo Tolentino;Cláudio;Minas Gerais;Público;31
SDCO;Sorocaba;Sorocaba;São Paulo;Público;35
SWUA;São Miguel do Araguaia;São Miguel do Araguaia;Goiás;Público;52
SSRZ;Dário Brasil Capoano de Oliveira;Rosário do Sul;Rio Grande do Sul;Público;43
SJTS;Terra Santa;Terra Santa;Pará;Público;15
SSHZ;Walter Bündchen;Horizontina;Rio Grande do Sul;Público;43
SDMO;Monte Alto;Monte Alto;São Paulo;Público;35
SIBZ;Itaporanga;Itaporanga;Paraíba;Público;25
SWBC;Barcelos;Barcelos;Amazonas;Público;13
SBVH;Vilhena;Vilhena;Rondônia;Público;11
SNIG;Iguatu;Iguatu;Ceará;Público;23
SWWU;Uruaçu;Uruaçu;Goiás;Público;52
SWEK;Canarana;Canarana;Mato Grosso;Público;51
SNBZ;Paramirim;Paramirim;Bahia;Público;29
SILC;Aeroporto Municipal Bom Futuro;Lucas do Rio Verde;Mato Grosso;Público;51
SSSS;São Francisco do Sul;São Francisco do Sul;Santa Catarina;Público;42
SNTM;Turmalina;Turmalina;Minas Gerais;Público;31
SWJN;Juína;Juína;Mato Grosso;Público;51
SSIE;Teruel Ipanema Estância;Campo Grande;Mato Grosso do Sul;Público;50
SSGW;Manoel Ribas;Goioerê;Paraná;Público;41
SNKN;Currais Novos;Currais Novos;Rio Grande do Norte;Público;24
SIBY;Lourival Nunes de Farias;Monteiro;Paraíba;Público;25
SSXD;Tobias Bacci;Sarandi;Rio Grande do Sul;Público;43
SNRD;Prado;Prado;Bahia;Público;29
SWUZ;Brigadeiro Araripe Macedo;Luziânia;Goiás;Público;52
SSPN;Paranaíba;Paranaíba;Mato Grosso do Sul;Público;50
SNYA;Aeródromo Público de Almeirim;Almeirim;Pará;Público;15
SNJO;Aeroclube de João Pessoa;João Pessoa;Paraíba;Público;25
SJGU;Araguatins;Araguatins;Tocantins;Público;17
SNAP;Janaúba;Janaúba;Minas Gerais;Público;31
SNSW;Soure;Soure;Pará;Público;15
SBTB;Trombetas;Oriximiná;Pará;Público;15
SSOS;Osório;Osório;Rio Grande do Sul;Público;43
SSCV;Caravelas;Caravelas;Bahia;Público;29
SSAK;Carlos Ruhl;Cruz Alta;Rio Grande do Sul;Público;43
SJQN;Quirinópolis;Quirinópolis;Goiás;Público;52
SWPY;Primavera do Leste;Primavera do Leste;Mato Grosso;Público;51
SNIO;Cipó;Cipó;Bahia;Público;29
SNFX;São Félix do Xingu;São Félix do Xingu;Pará;Público;15
SBMY;Manicoré;Manicoré;Amazonas;Público;13
SSWS;Caçapava do Sul;Caçapava do Sul;Rio Grande do Sul;Público;43
SSBN;Belém Novo;Porto Alegre;Rio Grande do Sul;Público;43
SNJQ;Jequitinhonha;Jequitinhonha;Minas Gerais;Público;31
SBCI;Brigadeiro Lysias Augusto Rodrigues;Carolina;Maranhão;Público;21
SWLB;Lábrea;Lábrea;Amazonas;Público;13
SNDC;Redenção;Redenção;Pará;Público;15
SBAA;Conceição do Araguaia;Conceição do Araguaia;Pará;Público;15
SNPA;Pará de Minas;Pará de Minas;Minas Gerais;Público;31
SBAR;Santa Maria;Aracaju;Sergipe;Público;28
SSAQ;Aeroclube de Passo Fundo;Passo Fundo;Rio Grande do Sul;Público;43
SWFN;Flores;Manaus;Amazonas;Público;13
SNMN;Minas Novas;Minas Novas;Minas Gerais;Público;31
SSJA;Santa Terezinha;Joaçaba;Santa Catarina;Público;42
SWCB;Campos Belos;Campos Belos;Goiás;Público;52
SWNH;Aruanã;Aruanã;Goiás;Público;52
SNMZ;Porto de Moz;Porto de Moz;Pará;Público;15
SNOF;Ouro Fino;Ouro Fino;Minas Gerais;Público;31
SDXJ;Costa Rica;Costa Rica;Mato Grosso do Sul;Público;50
SNCS;Campos Sales;Campos Sales;Ceará;Público;23
SNED;Sócrates Rezende;Canavieiras;Bahia;Público;29
SNXQ;Xique-Xique;Xique-Xique;Bahia;Público;29
SWCQ;Costa Marques;Costa Marques;Rondônia;Público;11
SSPL;Palmeira das Missões;Palmeira das Missões;Rio Grande do Sul;Público;43
SNOC;Morro do Chapéu;Morro do Chapéu;Bahia;Público;29
SDUB;Estadual Gastão Madeira;Ubatuba;São Paulo;Público;35
SWNQ;Niquelândia;Niquelândia;Goiás;Público;52
SDIV;Ituverava;Ituverava;São Paulo;Público;35
SNAR;Cirilo Queiróz;Almenara;Minas Gerais;Público;31
SBMD;Monte Dourado;Almeirim;Pará;Público;15
SNRP;Rio Paranaíba;Rio Paranaíba;Minas Gerais;Público;31
SDLY;Armando Natali;Matão;São Paulo;Público;35
SNIP;Itapetinga;Itapetinga;Bahia;Público;29
SSQT;Major Neodo S. Pereira;Castro;Paraná;Público;41
SSSG;São Gabriel;São Gabriel;Rio Grande do Sul;Público;43
SNQG;Cangapara;Floriano;Piauí;Público;22
SSPT;Brasílio Marques;Palotina;Paraná;Público;41
SNJM;Elias Breder;Manhuaçu;Minas Gerais;Público;31
SNZA;Pouso Alegre;Pouso Alegre;Minas Gerais;Público;31
SSIR;Ibirubá;Ibirubá;Rio Grande do Sul;Público;43
SNTI;Óbidos;Óbidos;Pará;Público;15
SNLI;Doutor José Mourão;Abaeté;Minas Gerais;Público;31
SNVD;Santa Maria da Vitória;Santa Maria da Vitória;Bahia;Público;29
SSLT;Gaudêncio Machado Ramos;Alegrete;Rio Grande do Sul;Público;43
SNVC;Viçosa;Viçosa;Minas Gerais;Público;31
SSRE;Realeza;Realeza;Paraná;Público;41
SDLL;Yolanda Penteado;Leme;São Paulo;Público;35
SNMR;Maraú;Maraú;Bahia;Público;29
SJAU;Araguacema;Araguacema;Tocantins;Público;17
SDOV;Mozarlândia;Mozarlândia;Goiás;Público;52
SNAB;Araripina;Araripina;Pernambuco;Público;26
SNFO;Formiga;Formiga;Minas Gerais;Público;31
SWKQ;Serra da Capivara/São Raimundo Nonato;São Raimundo Nonato;Piauí;Público;22
SBMS;Aeroporto Dix-Sept Rosado;Mossoró;Rio Grande do Norte;Público;24
SBRP;Leite Lopes;Ribeirão Preto;São Paulo;Público;35
SNUI;Araçuaí;Araçuaí;Minas Gerais;Público;31
SDXF;Alto Paraíso de Goiás;Alto Paraíso de Goiás;Goiás;Público;52
SDLC;Lucélia;Lucélia;São Paulo;Público;35
SSER;Erechim;Erechim;Rio Grande do Sul;Público;43
SSJI;Jardim;Jardim;Mato Grosso do Sul;Público;50
SWIQ;Minaçu;Minaçu;Goiás;Público;52
SNGG;Bom Jesus do Gurguéia;Bom Jesus;Piauí;Público;22
SWTO;Paraíso do Tocantins;Paraíso do Tocantins;Tocantins;Público;17
SSEE;Regional do Vale do Taquari;Estrela;Rio Grande do Sul;Público;43
SNSM;Salinópolis;Salinópolis;Pará;Público;15
SSRS;Barreirinhas;Barreirinhas;Maranhão;Público;21
SSJK;Júlio de Castilhos;Júlio de Castilhos;Rio Grande do Sul;Público;43
SICB;Pedro Simões Pimenta;Cuité;Paraíba;Público;25
SNRM;Remanso;Remanso;Bahia;Público;29
SDMJ;Mogi Mirim;Mogi Mirim;São Paulo;Público;35
SNKF;Das Bandeirinhas;Conselheiro Lafaiete;Minas Gerais;Público;31
SNUC;Açu;Açu;Rio Grande do Norte;Público;24
SNSI;Santa Maria do Suaçuí;Santa Maria do Suaçuí;Minas Gerais;Público;31
SDPD;Pindamonhangaba;Pindamonhangaba;São Paulo;Público;35
SDEP;Geraldo Moacir Bordon;Presidente Epitácio;São Paulo;Público;35
SDTP;José Vicente Faria Lima;Tupã;São Paulo;Público;35
SBEK;Jacareacanga;Jacareacanga;Pará;Público;15
SSVL;Telêmaco Borba;Telêmaco Borba;Paraná;Público;41
SSVN;Veranópolis;Veranópolis;Rio Grande do Sul;Público;43
SSNB;Ariosto da Riva;Naviraí;Mato Grosso do Sul;Público;50
SNPQ;Pesqueira;Pesqueira;Pernambuco;Público;26
SBTC;Hotel Transamérica;;;Público;
SBNV;Aeródromo Nacional de Aviação;Goiânia;Goiás;Público;52
SDTB;Atibaia;Atibaia;São Paulo;Público;35
SBSM;Santa Maria;Santa Maria;Rio Grande do Sul;Público;43
SDAE;São Pedro;São Pedro;São Paulo;Público;35
SSNP;Nova Prata;Nova Prata;Rio Grande do Sul;Público;43
SWPG;Porto dos Gaúchos;Porto dos Gaúchos;Mato Grosso;Público;51
SNIU;Ipiaú;Ipiaú;Bahia;Público;29
SBCH;Serafin Enoss Bertaso;Chapecó;Santa Catarina;Público;42
SDAG;Angra Dos Reis;Angra dos Reis;Rio de Janeiro;Público;33
SWBR;Borba;Borba;Amazonas;Público;13
SBMO;Zumbi dos Palmares;Maceió;Alagoas;Público;27
SNMA;Monte Alegre;Monte Alegre;Pará;Público;15
SNKK;Caicó;Caicó;Rio Grande do Norte;Público;24
SWZX;Selma Nunes;Macaúbas;Bahia;Privado;29
SDXM;Monte Cristo;Monte Belo;Minas Gerais;Privado;31
SSLB;Fazenda São Paulino;Corumbá;Mato Grosso do Sul;Privado;50
SNAO;Trimonte;Casimiro de Abreu;Rio de Janeiro;Privado;33
SDZI;Fazenda Trijunção;Jaborandi;Bahia;Privado;29
SIAI;Fazenda Esteirinha;Goioerê;Paraná;Privado;41
SJFF;Frigo Estrela;Estrela d'Oeste;São Paulo;Privado;35
SIEL;Eletro Cesar Primavera;Pimenta Bueno;Rondônia;Privado;11
SWLV;Santo Antônio do Leverger;Santo Antônio do Leverger;Mato Grosso;Privado;51
SIPE;Itapessoca;Goiana;Pernambuco;Privado;26
SBQK;Fazenda Mundial;São Félix do Xingu;Pará;Privado;15
SBOR;Fazenda AgroTamareira;Mundo Novo;Goiás;Privado;52
SSVC;Fazenda Vazante;Aquidauana;Mato Grosso do Sul;Privado;50
SDCD;Catanduva;Catanduva;São Paulo;Privado;35
SNBW;Fazenda Santa Luzia;Sapezal;Mato Grosso;Privado;51
SWJR;Fazenda Santa Rita;Aquidauana;Mato Grosso do Sul;Privado;50
SNLL;Condomínio Liberty;Goianápolis;Goiás;Privado;52
SIDW;Fazenda Cortezia;Lucas do Rio Verde;Mato Grosso;Privado;51
SBOD;Fazenda Santa Cruz;Araguaína;Tocantins;Privado;17
SNDR;Domingos Rego;Timon;Maranhão;Privado;21
SNSK;Central Ferraz;Herculândia;São Paulo;Privado;35
SBQJ;Osvaldo de Carvalho;Ibaiti;Paraná;Privado;41
SJVL;Vale Europeu;Guaramirim;Santa Catarina;Privado;42
SDXD;Fazenda Guará;Jaborandi;Bahia;Privado;29
SDBN;Associação Recreativa Fazenda Bonanza;Salto de Pirapora;São Paulo;Privado;35
SIRJ;Caima;Itaituba;Pará;Privado;15
SJDB;Fazenda Santa Elisa;Britânia;Goiás;Privado;52
SJZG;Fazenda São Geraldo;Caseara;Tocantins;Privado;17
SBGP;EMBRAER - Unidade Gavião Peixoto;Gavião Peixoto;São Paulo;Privado;35
SWNZ;Fazenda Jamaica;Serra Nova Dourada;Mato Grosso;Privado;51
SIVG;Clube Aerodesportivo Selva;Sinop;Mato Grosso;Privado;51
SSIO;Fazenda Conquista;Santa Carmem;Mato Grosso;Privado;51
SWHM;Lobo Agropecuária;Alcinópolis;Mato Grosso do Sul;Privado;50
SDLI;Fazenda Dois Irmãos;Campo Novo do Parecis;Mato Grosso;Privado;51
SNLV;Maria Magalhães;Porto União;Santa Catarina;Privado;42
SJDS;Dias Branco;Eusébio;Ceará;Privado;23
SITR;Fazenda Tamboril;Bom Jesus de Goiás;Goiás;Privado;52
SJXO;Grupo DH;Jaborandi;Bahia;Privado;29
SNLQ;Fazenda Conforto;Nova Crixás;Goiás;Privado;52
SSGR;Regional de Santa Helena de Goiás - Paulo Lopes;Santa Helena de Goiás;Goiás;Privado;52
SJLV;Morro;Uiramutã;Roraima;Privado;14
SIJW;Fazenda Retimar;Iguatemi;Mato Grosso do Sul;Privado;50
SNDQ;Fazenda Soya;São Desidério;Bahia;Privado;29
SSRL;Fazenda Rancho Alegre;Rio Verde de Mato Grosso;Mato Grosso do Sul;Privado;50
SIAQ;Bom Futuro;Cuiabá;Mato Grosso;Privado;51
SSLJ;Fazenda São Luís;Pimenteiras do Oeste;Rondônia;Privado;11
SJVI;Fazenda Carmen;Corumbá;Mato Grosso do Sul;Privado;50
SINK;Fazenda Negrinha;Parapuã;São Paulo;Privado;35
SWLA;Fazenda Amália;Juína;Mato Grosso;Privado;51
SJKA;Aerocampo;Campo Novo do Parecis;Mato Grosso;Privado;51
SJYW;Fazenda Santa Terezinha;Santa Terezinha;Mato Grosso;Privado;51
SJWI;Fazenda Flor;Campo Grande;Mato Grosso do Sul;Privado;50
SWCI;Agropecuária Rio da Prata;Posse;Goiás;Privado;52
SWRI;Fazenda Roncador I;Querência;Mato Grosso;Privado;51
SDQA;Fazenda Aldebaran;Angélica;Mato Grosso do Sul;Privado;50
SWKH;Pista Aldeia Rio Vermelho (Krénhêdjã);Ourilândia do Norte;Pará;Privado;15
SDTW;Fazenda Miragem;Sapezal;Mato Grosso;Privado;51
SWON;Clube de Aviação Céu Azul;Araquari;Santa Catarina;Privado;42
SIVJ;Cirrus Sociedade Aerodesportiva;Jaboticatubas;Minas Gerais;Privado;31
