code;name;city;state;type;uf_code
SWFO;Fazenda Santa Maria;Formosa do Rio Preto;Bahia;Privado;29
SSJP;Fazenda Junqueira;Colorado;Paraná;Privado;41
SINH;Fazenda Esperança;Novo Horizonte do Sul;Mato Grosso do Sul;Privado;50
SNUS;Usina Delta I;Delta;Minas Gerais;Privado;31
SDQT;Fazenda Vista Alegre;Novo Horizonte do Sul;Mato Grosso do Sul;Privado;50
SIJY;Campo Comandantes;Itajaí;Santa Catarina;Privado;42
SDWF;SAPAN;Pacaraima;Roraima;Privado;14
SIZS;Agropecuária Equus;Gaúcha do Norte;Mato Grosso;Privado;51
SJZR;Fazenda Rodeio;São Miguel do Guaporé;Rondônia;Privado;11
SJFM;Fazenda Macuco;Eldorado;Mato Grosso do Sul;Privado;50
SDXU;Fazenda Relu;Gaúcha do Norte;Mato Grosso;Privado;51
SSTP;Fazenda Baessa;Turvelândia;Goiás;Privado;52
SSDS;Fazenda Vale;Tapurah;Mato Grosso;Privado;51
SDFY;Fazenda Valença;Rio Negro;Mato Grosso do Sul;Privado;50
SJNF;Wilimon;Uiramutã;Roraima;Privado;14
SBOA;Fazenda Antas;Sapé;Paraíba;Privado;25
SIAB;Guatambu São Paulo;Buri;São Paulo;Privado;35
SSGU;Fazenda Gurucaia;Santa Isabel do Ivaí;Paraná;Privado;41
SNGO;Montes Claros de Goiás;Montes Claros de Goiás;Goiás;Privado;52
SJQF;Fazenda Londrina;Campo Novo do Parecis;Mato Grosso;Privado;51
SSGE;Fazenda Periquitos;Três Lagoas;Mato Grosso do Sul;Privado;50
SJLJ;Jatapuzinho;Caroebe;Roraima;Privado;14
SIXA;Fazenda União Suzanápolis;Suzanápolis;São Paulo;Privado;35
SSGP;Piquet;Brasília;Distrito Federal;Privado;53
SWPD;Pouso da Águia;Cantá;Roraima;Privado;14
SJGN;Fazenda Agromar;São José do Rio Claro;Mato Grosso;Privado;51
SJLQ;Maracanã;Uiramutã;Roraima;Privado;14
SNQQ;Centroar;Flores de Goiás;Goiás;Privado;52
SDNW;Fazenda Guanabara;Rio Negro;Mato Grosso do Sul;Privado;50
SJIC;Pedro da Costa Lima;Santa Rita do Pardo;Mato Grosso do Sul;Privado;50
SSGT;Fazenda Capão Alto;Rio Brilhante;Mato Grosso do Sul;Privado;50
SJQP;Estância Rebog;Cocalinho;Mato Grosso;Privado;51
SWBD;Fazenda Mundo Acabado;Sonora;Mato Grosso do Sul;Privado;50
SD6Z;VCM;Guararapes;São Paulo;Privado;35
SNLE;Estância Mil;Corumbá;Mato Grosso do Sul;Privado;50
SDJX;Fazenda Serra Dourada;Palmeirópolis;Tocantins;Privado;17
SJAH;Fazenda Gesso Integral;Grajaú;Maranhão;Privado;21
SSKH;Fazenda Karl Hermann Isenberg;Aral Moreira;Mato Grosso do Sul;Privado;50
SIJE;Fazenda Joana Estância;Corumbá;Mato Grosso do Sul;Privado;50
SJMW;Socó;Uiramutã;Roraima;Privado;14
SIIN;Fazenda Marrecão;São Miguel do Guaporé;Rondônia;Privado;11
SSRR;Fazenda Meu Ranchinho;Pedro Gomes;Mato Grosso do Sul;Privado;50
SNLD;Fazenda São Luiz do Matão;Carneirinho;Minas Gerais;Privado;31
SWTH;Fazenda Smith;Bonfim;Roraima;Privado;14
SNFM;Fazenda Mourão;Colniza;Mato Grosso;Privado;51
SJZL;Fazenda Vaca Mocha;Caracol;Mato Grosso do Sul;Privado;50
SIOZ;Pista Aldeia Kenjdã;Altamira;Pará;Privado;15
SJWG;Itagro;Alegrete;Rio Grande do Sul;Privado;43
SJFG;Fazenda Fartura;Campo Verde;Mato Grosso;Privado;51
SJCQ;Fazenda Serra Azul;Baixa Grande;Bahia;Privado;29
SIZK;Fazenda Vera Cruz;Barra do Garças;Mato Grosso;Privado;51
SWYS;Usina Cerradão;Frutal;Minas Gerais;Privado;31
SSXQ;Fazenda Jota III;Inocência;Mato Grosso do Sul;Privado;50
SWSG;Fazenda Simarelli;Campos de Júlio;Mato Grosso;Privado;51
SSLL;Fazenda Vale Verde;Porto Velho;Rondônia;Privado;11
SWXL;Fazenda Santa Maria ;Inocência;Mato Grosso do Sul;Privado;50
SJTK;Fazenda Itakiray;Itaquiraí;Mato Grosso do Sul;Privado;50
SWHL;Fazenda Marabá;Campo Verde;Mato Grosso;Privado;51
SJUI;Fazenda Uirapuru ;Araguanã;Tocantins;Privado;17
SNRV;Fazenda Rio Vermelho;Sapucaia;Pará;Privado;15
SDDC;Fazenda São João do Guaporé;Pontes e Lacerda;Mato Grosso;Privado;51
SIUH;Fazenda Flores;Tamboril;Ceará;Privado;23
SWSU;Fazenda Santa Umbelina;Naviraí;Mato Grosso do Sul;Privado;50
SDCH;Fazenda Rosa dos Ventos;Itumbiara;Goiás;Privado;52
SJCR;Fazenda Rebeca;Brejolândia;Bahia;Privado;29
SNTV;Fazenda Timbaúba;Luís Eduardo Magalhães;Bahia;Privado;29
SSKA;Fazenda Campinas;Corumbá;Mato Grosso do Sul;Privado;50
SNYP;Chácara Paraíso;Benevides;Pará;Privado;15
SSVV;Fazenda Garimpinho;Figueirão;Mato Grosso do Sul;Privado;50
SIII;Dr. Heráclito da Motta Luiz;Guaíra;São Paulo;Privado;35
SJGE;Nações Unidas;Itaituba;Pará;Privado;15
SWPW;CEA-Caçapava;Caçapava;São Paulo;Privado;35
SSMB;Fazenda Oriente;Valença;Rio de Janeiro;Privado;33
SDVS;Fazenda Vassoural;Pontal;São Paulo;Privado;35
SDDA;Fazenda Santa Alaydes;Corumbá;Mato Grosso do Sul;Privado;50
SBOB;Fazenda Buriti;Unaí;Minas Gerais;Privado;31
SDTS;Fazenda Planalto;Jaraguari;Mato Grosso do Sul;Privado;50
SDTE;Fazenda Tapijara;Arandu;São Paulo;Privado;35
SIFA;Fazenda Sete;Aquidauana;Mato Grosso do Sul;Privado;50
SJAV;Aerocéu Aviação Agrícola;Chapadão do Céu;Goiás;Privado;52
SSBK;Fazenda Araruna;Sonora;Mato Grosso do Sul;Privado;50
SIKK;Calciolândia;Arcos;Minas Gerais;Privado;31
SDJR;JN Resort;Sete Lagoas;Minas Gerais;Privado;31
SDOX;Fazenda Água Fria;Xinguara;Pará;Privado;15
SDCR;Fazenda Caiçara;Itanhaém;São Paulo;Privado;35
SSKI;Fazenda Cristo Rei;Parecis;Rondônia;Privado;11
SWXT;Fazenda Parnaguá;Santa Filomena;Piauí;Privado;22
SWAV;Fazenda Vale dos Sonhos;Palestina de Goiás;Goiás;Privado;52
SJSH;Fly Ville;Governador Celso Ramos;Santa Catarina;Privado;42
SIGL;Fazenda Dumont - Chiquinho Ribeiro;Bragança Paulista;São Paulo;Privado;35
SJNB;Ubarú;Pacaraima;Roraima;Privado;14
SJOW;Fazenda Guadalupe;Santo Antônio do Aracanguá;São Paulo;Privado;35
